pmid,species_name,species_id,gene_name,gene_id
39619227,human,9606,CXCL2,2920
39619230,human,9606,,
39619235,Patient,9606,,
39619240,patients,9606,,
39619250,,,,
39619256,patients,9606,,
39619263,,,,
39619274,patients,9606,,
39619275,patients,9606,EGFR,1956
39619277,patients,9606,,
39619279,Saprochaete capitata,1095183,,
39619280,HIV,12721,,
39619281,patients,9606,,
39619295,patients,9606,,
39619297,Varicella-zoster virus,10335,,
39619299,,,,
39619318,patient,9606,MeCP2,4204
39619335,tobacco,4097,,
39619366,patients,9606,,
39619368,,,,
39619370,Aspergillus,5052,,
39619392,patients,9606,,
39619393,Patients,9606,,
39619397,patients,9606,,
39619400,,,,
39619431,,,,
39619436,patient,9606,,
39619437,,,IGFBP-3,3486
39619459,patients,9606,,
39619461,patients,9606,,
39619464,,,,
39619469,patient,9606,albumin,213
39619470,women,9606,,
39619482,,,LINC01139,339535
39619492,patients,9606,,
39619513,,,,
39619514,bacteria,629395,,
39619520,,,,
39619525,,,IL-10,3586
39619541,,,,
39619543,,,,
39619550,,,,
39619554,,,,
39619560,,,,
39619562,Trichoderma sp.,1715253,,
39619564,,,,
39619569,,,NLRP3,287362
39619576,patients,9606,,
39619580,,,,
39619590,,,,
39619593,cattle,9913,,
39619600,patients,9606,ZNF529,57711
39619604,patients,9606,AFP,174
39619610,Poria cocos,81056,TRPC6,7225
39619617,,,,
39619622,patients,9606,,
39619631,patients,9606,lipoprotein(a),4018
39619643,human,9606,,
39619646,patients,9606,,
39619655,,,PIK3CA,5290
39619657,Human,9606,,
39619670,patients,9606,,
39619672,Lachnospiraceae,186803,,
39619675,,,,
39619676,,,,
39619680,patient,9606,,
39619685,,,CD63,967
39619686,human,9606,,
39619691,Microcerotermes sp.,2904732,,
39619692,H. pylori,210,urease,
39619699,human,9606,,
39619703,,,,
39619706,patients,9606,,
39619718,Human,9606,CD9,928
39619727,human,9606,,
39619742,bacteria,629395,,
39619744,patients,9606,,
39619747,patients,9606,,
39619752,patients,9606,,
39619753,women,9606,,
39619762,patient,9606,galectin-3,3958
39619767,tobacco,4097,P16,1029
39619774,Arabidopsis thaliana,3702,,
39619775,patients,9606,CCL23,6368
39619782,,,,
39619790,,,,
39619794,patients,9606,,
39619798,,,,
39619799,,,,
39619800,,,,
39619803,human,9606,LOx,4015
39619813,patients,9606,albumin,213
39619842,rice,4530,,
39619851,,,,
39619853,mice,10090,Tnfalpha,7124
39619855,patients,9606,PAX6,5080
39619858,people,9606,,
39619860,patients,9606,,
39619862,,,,
39619878,,,,
39619888,,,,
39619914,Women,9606,,
39619919,E. coli,562,,
39619921,H9N2,102796,,
39619925,,,,
39619931,cats,9685,PAX5,101089303
39619941,R. microplus,6941,,
39619942,patient,9606,,
39619943,patients,9606,,
39619944,patients,9606,,
39619947,mice,10090,,
39619948,carrots,4039,,
39619949,rats,10116,Nrf-2,83619
39619956,mice,10090,,
39619966,,,,
39619974,LAB,103236,,
39619978,human,9606,CCND2,894
39619979,mice,10090,,
39619983,P. shermanii,1752,,
39619987,E. radiata,87679,,
39620002,human,9606,,
39620017,,,,
39620027,patients,9606,,
39620035,,,,
39620038,,,ACE,163
39620042,,,,
39620054,mice,10090,Oxt,18429
39620060,,,,
39620062,,,,
39620063,patients,9606,,
39620065,outpatient,9606,,
39620066,participants,9606,,
39620082,,,,
39620097,,,,
39620100,patient,9606,,
39620120,,,,
39620125,,,,
39620132,chimpanzees,9598,,
39620136,human,9606,,
39620143,patients,9606,,
39620153,patients,9606,,
39620156,,,,
39620162,,,,
39620171,women,9606,,
39620178,,,ACTH,5443
39620186,patients,9606,,
39620191,patients,9606,insulin,3630
39620192,patient,9606,parathyroid hormone,5741
39620195,,,,
39620196,,,,
39620202,human,9606,NF1,4763
39620207,,,,
39620213,patient,9606,,
39620220,rat,10116,STAT3,25125
39620228,human,9606,,
39620267,,,,
39620277,,,,
39620472,,,,
39620476,,,,
39620496,patients,9606,GLA,2717
39620512,,,,
39620522,,,,
39620524,,,,
39620534,,,,
39620560,patient,9606,,
39620578,patients,9606,,
39620604,patients,9606,,
39620642,,,,
39620650,women,9606,,
39620667,,,,
39620668,,,,
39620672,,,,
39620680,,,,
39620695,mice,10090,,
39620871,pig,9823,,
39620896,,,P24,10959
39620899,,,,
39620905,,,,
39620906,Japanese quail,93934,,
39620933,yeast,4932,,
39620984,patients,9606,,
39620997,,,,
39621022,zebrafish,7955,,
39621054,,,,
39621159,soybean cyst nematode,51029,,
39621165,patient,9606,,
39621178,,,,
39621179,human,9606,,
39621212,mouse,10090,ACE2,70008
39621237,,,,
39621245,Acipenser ruthenus,7906,,
39621306,patients,9606,,
39621309,humans,9606,,
39621338,Participants,9606,,
39621367,,,,
39621492,Ruminococcus,1263,,
39621529,patient,9606,ERCC8,1161
39621532,,,,
39621547,,,,
39621584,,,Luma,79188
39621585,mice,10090,MCT4,9123
39621604,human,9606,,
39621611,patients,9606,,
39621613,bats,9397,,
39621632,patient,9606,,
39621651,,,HE4,10406
39621667,bananas,4641,,
39621672,human,9606,UBE2E3,10477
39621676,,,tubulin,33501
39621680,human,9606,,
39621690,,,NKG2A,3821
39621698,,,,
39621701,,,,
39621712,,,,
39621716,,,,
39621719,,,,
39621723,,,,
39621732,women,9606,,
39621747,,,,
39621749,,,,
39621750,Campylobacter jejuni,197,,
39621753,ZIKV,64320,NS4A,
39621773,human,9606,,
39621776,Human,9606,,
39621781,human,9606,,
39621791,patients,9606,,
39621795,Zika virus,64320,SRP54,6729
39621799,patients,9606,,
39621813,,,,
39621815,women,9606,,
39621826,,,,
39621847,,,,
39621854,,,,
39621872,,,,
39621887,patients,9606,,
39621888,,,,
39621897,,,,
39621906,pea,252690,,
39621907,peas,3888,,
39621915,,,,
39621929,,,,
39622023,Patient,9606,,
39622039,,,,
39622041,,,,
39622043,people,9606,,
39622046,patient,9606,,
39622079,patient,9606,,
39622178,human,9606,CD14,929
39622225,,,,
39622274,patients,9606,tumor necrosis factor alpha,7124
39622497,,,,
39622505,,,,
39622508,patients,9606,,
39622537,,,,
39622570,patients,9606,,
39622575,patients,9606,,
39622622,mice,10090,ciBAR1,137392
39622625,,,,
39622652,Acanthamoeba,5755,,
39622660,Sebastes schlegelii,214486,,
39622675,patients,9606,GLP-1,2641
39622683,Human,9606,,
39622688,,,,
39622691,patients,9606,,
39622697,,,,
39622698,,,,
39622700,rice,4530,,
39622701,,,,
39622704,,,,
39622705,,,,
39622713,human,9606,,
39622752,patients,9606,CD20,54474
39622755,patients,9606,,
39622757,,,,
39622761,patients,9606,,
39622777,,,,
39622788,rat,10116,TRPV1,83810
39622789,patients,9606,,
39622790,,,,
39622821,,,,
39622823,,,,
39622825,,,,
39622827,,,TPM4,7171
39622829,mammalian,9606,WNT3A,89780
39622834,Drosophila,7227,CRH,1392
39622839,Dosidicus gigas,346249,,
39622842,women,9606,AR,367
39622845,,,,
39622856,,,,
39622857,mice,10090,LTbetaR,17000
39622860,,,,
39622868,,,,
39622870,humans,9606,breast cancer resistance protein,9429
39622877,,,,
39622885,participants,9606,,
39622890,,,,
39622894,,,,
39622897,participants,9606,insulin,3630
39622904,chimpanzees,9598,,
39622911,,,,
39622927,patients,9606,,
39622929,,,,
39622932,patients,9606,BID,637
39622938,,,,
39622973,Bacillus cereus,1396,,
39622974,human,9606,mTOR,2475
39623001,,,,
39623021,girls,9606,,
39623025,patients,9606,,
39623040,Aedes aegypti,7159,,
39623048,,,,
39623050,,,,
39623052,human,9606,,
39623053,patients,9606,,
39623066,DMR,545892,RIPK3,101719112
39623086,Klebsiella pneumoniae,573,KPC-2,13914015
39623166,,,Rip1,7386
39623195,patients,9606,,
39623213,,,VEGFR-2,3791
39623218,mouse,10090,,
39623230,,,,
39623255,human,9606,,
39623256,,,,
39623292,patients,9606,TAF1L,138474
39623293,participants,9606,,
39623295,mice,10090,SENP3,26168
39623299,patients,9606,,
39623300,patients,9606,,
39623304,Viola diffusa,591085,,
39623305,outpatient,9606,,
39623309,patients,9606,CRP,1401
39623319,mice,10090,Xist,7503
39623320,sheep,9940,STAT5B,101122961
39623322,rainbow trout,8022,VEGF,100136118
39623333,patients,9606,,
39623343,,,,
39623346,,,,
39623353,HIV,11676,VL,23209
39623354,women,9606,,
39623361,patients,9606,,
39623366,,,,
39623371,Participant,9606,,
39623382,,,,
39623383,,,,
39623393,patients,9606,,
39623400,patients,9606,IKBKG,8517
39623402,patients,9606,,
39623409,people,9606,,
39623412,equine,9796,IL-10,100034187
39623415,,,,
39623422,men,9606,,
39623426,patient,9606,,
39623434,,,,
39623446,Patients,9606,,
39623456,patients,9606,CX43,2697
39623459,,,,
39623465,patient,9606,,
39623468,,,Vimentin,7431
39623469,patients,9606,,
39623476,,,,
39623479,patient,9606,,
39623507,patient,9606,,
39623510,patient,9606,,
39623600,,,NNMT,4837
39623601,women,9606,,
39623608,mice,10090,IL-1beta,16176
39623612,patients,9606,,
39623620,,,insulin,3630
39623685,patient,9606,,
39623708,patients,9606,,
39623730,,,,
39623753,,,,
39623765,,,,
39623769,patients,9606,,
39623781,patients,9606,,
39623859,,,,
39623908,mice,10090,,
39623926,patient,9606,,
39623934,patients,9606,,
39623960,,,,
39623965,patients,9606,,
39623971,HPV,10566,,
39624017,patients,9606,TNF,7124
39624020,patients,9606,,
39624024,Enterobacterales,91347,,
39624030,,,,
39624043,patients,9606,EGFR,1956
39624044,,,,
39624047,,,IL-4,16189
39624053,,,,
39624054,,,,
39624059,patients,9606,,
39624062,chick,9031,thrombin,395306
39624072,,,,
39624073,,,,
39624078,,,NR6A1,2649
39624081,patients,9606,,
39624085,mice,10090,IL17,16171
39624089,patients,9606,CRISP3,10321
39624094,women,9606,C3b,100862689
39624095,SARS-CoV-2,2697049,IL-10,3586
39624100,SARS-CoV-2,2697049,spike,43740568
39624102,,,,
39624103,patient,9606,CTLA-4,1493
39624119,,,,
39624128,P. gossypiella,13191,,
39624130,,,,
39624132,Cupressus funebris,74301,,
39624135,women,9606,,
39624136,patient,9606,PSENEN,55851
39624157,human,9606,,
39624158,yellow perch,8167,,
39624164,,,,
39624168,patients,9606,,
39624169,mice,10090,BDNF,627
39624171,patients,9606,,
39624173,,,,
39624176,,,,
39624178,,,,
39624185,,,,
39624192,Escherichia coli,562,,
39624196,canine,9615,,
39624210,patients,9606,,
39624213,patients,9606,albumin,213
39624215,SARS-CoV-2,2697049,,
39624222,rat,10116,C-reactive protein,25419
39624228,,,,
39624247,rice,4530,,
39624258,patients,9606,,
39624259,patients,9606,,
39624271,Fusarium equiseti,61235,,
39624273,,,,
39624281,patients,9606,CD73,4907
39624282,,,,
39624285,Catha edulis,123405,,
39624288,patients,9606,,
39624306,Paenibacillus sp,58172,,
39624310,,,,
39624313,patients,9606,,
39624317,,,,
39624321,participants,9606,,
39624323,patients,9606,,
39624333,human,9606,,
39624334,K. pneumoniae,573,,
39624336,,,,
39624338,women,9606,,
39624341,,,HER2,2064
39624344,Participants,9606,,
39624354,Japanese encephalitis virus (,11072,,
39624359,woman,9606,,
39624370,,,,
39624375,,,,
39624381,patients,9606,MMP-7,4316
39624396,murine,10090,EGFR,13649
39624405,,,,
39624407,,,,
39624408,,,,
39624415,patients,9606,,
39624428,,,,
39624430,,,SOD,6647
39624432,,,,
39624433,,,,
